Passager,i,j
1,2.0,1.0
2,5.0,5.0
3,21.0,2.0
4,12.0,2.0
5,29.0,5.0
6,24.0,3.0
7,17.0,1.0
8,17.0,2.0
9,14.0,7.0
10,29.0,1.0
11,14.0,2.0
12,28.0,6.0
13,28.0,2.0
14,4.0,1.0
15,2.0,3.0
16,2.0,2.0
17,7.0,2.0
18,7.0,3.0
19,27.0,5.0
20,7.000000066223268,1.0000000665188347
21,10.0,2.0
22,10.0,5.0
23,10.0,6.0
24,10.0,3.0
25,28.0,7.0
26,29.0,2.0
27,29.0,3.0
28,16.0,7.0
29,12.0,1.0
30,3.0,3.0
31,2.0,7.0
32,18.0,3.0
33,15.0,5.0
34,13.0,5.0
35,21.0,1.0
36,11.0,1.0
37,11.0,2.0
38,13.0,2.0
39,2.0,6.0
40,1.0,5.0
41,5.0,1.0
42,6.0,6.0
43,3.0,1.0
44,3.0,2.0
45,1.0,3.0
46,1.0,2.0
47,9.0,5.0
48,16.0,5.0
49,9.0,2.0
50,9.0,3.0
51,21.0,6.0
52,23.0,5.0
53,8.0,3.0
54,27.0,1.0
55,3.0,6.0
56,3.0,5.0
57,6.0,5.0
58,12.0,6.0
59,15.0,2.0
60,15.0,1.0
61,15.0,3.0
62,26.0,6.0
63,6.0,7.0
64,6.0,1.0
65,9.0,1.0
66,9.0,6.0
67,11.0,6.0
68,11.0,5.0
69,25.0,2.0
70,1.0,7.0
71,1.0,6.0
72,1.0,1.0
73,5.0,6.0
74,16.0,1.0
75,27.0,7.0
76,13.0,6.0
77,27.0,2.0
78,7.0,7.0
79,4.0,7.0
80,4.0,6.0
81,17.0,6.0
82,14.0,1.0
83,20.0,2.0
84,25.0,6.0
85,13.0,1.0
86,22.0,1.0
87,23.0,7.0
88,4.0,3.0
89,4.0,5.0
90,5.0,7.0
91,23.0,6.0
92,6.0,2.0
93,28.0,3.0
94,19.0,1.0
95,2.0,5.0
96,27.0,6.0
97,4.0,2.0
98,17.0,3.0
99,29.0,6.0
100,29.0,7.0
101,7.0,6.0
102,7.0,5.0
103,8.0,5.0
104,28.0,5.0
105,8.0,2.0
106,5.0,3.0
107,5.0,2.0
108,6.0,3.0
109,19.0,7.0
110,24.0,5.0
111,27.0,3.0
112,3.0,7.0
113,8.0,7.0
114,8.0,6.0
115,23.0,3.0
116,8.0,1.0
