Passager,i,j
1,10.0,6.0
2,10.0,7.0
3,10.0,5.0
4,5.0,1.0
5,8.0,7.0
6,8.0,6.0
7,27.0,3.0
8,27.0,2.0
9,27.0,5.0
10,23.0,7.0
11,23.0,6.0
12,23.0,5.0
13,2.0,3.0
14,2.0,1.0
15,1.0,3.0
16,1.0,5.0
17,24.0,3.0
18,5.0,2.0
19,5.0,5.0
20,5.0,3.0
21,5.0,6.0
22,24.0,6.0
23,28.0,2.0
24,20.0,1.0
25,20.0,2.0
26,8.0,5.0
27,29.0,5.0
28,29.0,7.0
29,29.0,6.0
30,11.0,2.0
31,11.0,3.0
32,5.0,7.0
33,27.0,1.0
34,8.0,1.0
35,8.0,2.0
36,29.0,2.0
37,21.0,1.0
38,21.0,2.0
39,10.0,2.0
40,10.0,1.0
41,19.0,6.0
42,19.0,5.0
43,19.0,7.0
44,21.0,5.0
45,21.0,6.0
46,19.0,2.0
47,19.0,3.0
48,3.0,1.0
49,1.0,1.0
50,6.0,7.0
51,6.0,6.0
52,6.0,5.0
53,28.0,3.0
54,28.0,7.0
55,28.0,6.0
56,28.0,5.0
57,25.0,6.0
58,25.0,7.0
59,25.0,5.0
60,25.0,3.0
61,25.0,2.0
62,18.0,3.0
63,18.0,5.0
64,18.0,6.0
65,18.0,2.0
66,7.0,6.0
67,7.0,5.0
68,17.0,1.0
69,17.0,2.0
70,6.0,2.0
71,6.0,3.0
72,20.0,6.0
73,29.0,1.0
74,16.0,1.0
75,16.0,3.0
76,17.0,3.0
77,17.0,5.0
78,24.0,2.0
79,7.0,1.0
80,9.0,2.0
81,9.0,5.0
82,9.0,3.0
83,9.0,6.0
84,9.0,1.0
85,7.0,3.0
86,7.0,2.0
87,6.0,1.0
88,22.0,1.0
89,22.0,2.0
90,22.0,3.0
91,1.0,7.0
92,4.0,3.0
93,14.0,3.0
94,2.0,7.0
95,4.0,1.0
96,2.0,5.0
97,4.0,7.0
